,movieId,movieId_order,title
0,0,0,Toy Story (1995)
1229,1,1,Jumanji (1995)
1,2,2,Grumpier Old Men (1995)
438,4,3,Father of the Bride Part II (1995)
2,5,4,Heat (1995)
378,6,5,Sabrina (1995)
469,7,6,Tom and Huck (1995)
1387,8,7,Sudden Death (1995)
384,9,8,GoldenEye (1995)
439,10,9,"American President, The (1995)"
2519,11,10,Dracula: Dead and Loving It (1995)
2653,12,11,Balto (1995)
1813,13,12,Nixon (1995)
4309,14,13,Cutthroat Island (1995)
822,15,14,Casino (1995)
394,16,15,Sense and Sensibility (1995)
959,17,16,Four Rooms (1995)
586,18,17,Ace Ventura: When Nature Calls (1995)
5246,19,18,Money Train (1995)
203,20,19,Get Shorty (1995)
2782,21,20,Copycat (1995)
470,22,21,Assassins (1995)
2022,23,22,Powder (1995)
1305,24,23,Leaving Las Vegas (1995)
395,25,24,Othello (1995)
2537,26,25,Now and Then (1995)
3437,27,26,Persuasion (1995)
465,28,27,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
4071,29,28,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
425,30,29,Dangerous Minds (1995)
317,31,30,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
204,33,31,Babe (1995)
205,35,32,Dead Man Walking (1995)
828,38,33,Clueless (1995)
5982,39,34,"Cry, the Beloved Country (1995)"
1109,40,35,Richard III (1995)
2130,41,36,Dead Presidents (1995)
4310,42,37,Restoration (1995)
2162,43,38,Mortal Kombat (1995)
1417,44,39,To Die For (1995)
396,45,40,How to Make an American Quilt (1995)
3,46,41,Seven (a.k.a. Se7en) (1995)
464,47,42,Pocahontas (1995)
4,49,43,"Usual Suspects, The (1995)"
1763,51,44,Mighty Aphrodite (1995)
4048,52,45,Lamerica (1994)
4311,53,46,"Big Green, The (1995)"
4530,54,47,Georgia (1995)
471,56,48,Home for the Holidays (1995)
206,57,49,"Postman, The (Postino, Il) (1994)"
