,movieId,movieId_order,title,genres,genres_v2
0,1,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
1,2,1,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']"
2,3,2,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']"
3,4,3,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
4,5,4,Father of the Bride Part II (1995),Comedy,['Comedy']
5,6,5,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']"
6,7,6,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']"
7,8,7,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']"
8,9,8,Sudden Death (1995),Action,['Action']
9,10,9,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']"
10,11,10,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
11,12,11,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']"
12,13,12,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']"
13,14,13,Nixon (1995),Drama,['Drama']
14,15,14,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']"
15,16,15,Casino (1995),Crime|Drama,"['Crime', 'Drama']"
16,17,16,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']"
17,18,17,Four Rooms (1995),Comedy,['Comedy']
18,19,18,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy']
19,20,19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
20,21,20,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']"
21,22,21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
22,23,22,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']"
23,24,23,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']"
24,25,24,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']"
25,26,25,Othello (1995),Drama,['Drama']
26,27,26,Now and Then (1995),Children|Drama,"['Children', 'Drama']"
27,28,27,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']"
28,29,28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
29,30,29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"['Crime', 'Drama']"
30,31,30,Dangerous Minds (1995),Drama,['Drama']
31,32,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']"
32,33,32,Wings of Courage (1995),Adventure|Romance|IMAX,"['Adventure', 'Romance', 'IMAX']"
33,34,33,Babe (1995),Children|Drama,"['Children', 'Drama']"
34,35,34,Carrington (1995),Drama|Romance,"['Drama', 'Romance']"
35,36,35,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']"
36,37,36,Across the Sea of Time (1995),Documentary|IMAX,"['Documentary', 'IMAX']"
37,38,37,It Takes Two (1995),Children|Comedy,"['Children', 'Comedy']"
38,39,38,Clueless (1995),Comedy|Romance,"['Comedy', 'Romance']"
39,40,39,"Cry, the Beloved Country (1995)",Drama,['Drama']
40,41,40,Richard III (1995),Drama|War,"['Drama', 'War']"
41,42,41,Dead Presidents (1995),Action|Crime|Drama,"['Action', 'Crime', 'Drama']"
42,43,42,Restoration (1995),Drama,['Drama']
43,44,43,Mortal Kombat (1995),Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']"
44,45,44,To Die For (1995),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']"
45,46,45,How to Make an American Quilt (1995),Drama|Romance,"['Drama', 'Romance']"
46,47,46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['Mystery', 'Thriller']"
47,48,47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']"
48,49,48,When Night Is Falling (1995),Drama|Romance,"['Drama', 'Romance']"
49,50,49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"['Crime', 'Mystery', 'Thriller']"
50,51,50,Guardian Angel (1994),Action|Drama|Thriller,"['Action', 'Drama', 'Thriller']"
51,52,51,Mighty Aphrodite (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
52,53,52,Lamerica (1994),Adventure|Drama,"['Adventure', 'Drama']"
53,54,53,"Big Green, The (1995)",Children|Comedy,"['Children', 'Comedy']"
54,55,54,Georgia (1995),Drama,['Drama']
55,56,55,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,"['Adventure', 'Children', 'Comedy', 'Fantasy']"
56,57,56,Home for the Holidays (1995),Drama,['Drama']
57,58,57,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
58,59,58,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"['Drama', 'Mystery']"
59,60,59,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']"
60,61,60,Eye for an Eye (1996),Drama|Thriller,"['Drama', 'Thriller']"
61,62,61,Mr. Holland's Opus (1995),Drama,['Drama']
62,63,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"['Comedy', 'Crime']"
63,64,63,Two if by Sea (1996),Comedy|Romance,"['Comedy', 'Romance']"
64,65,64,Bio-Dome (1996),Comedy,['Comedy']
65,66,65,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']"
66,67,66,Two Bits (1995),Drama,['Drama']
67,68,67,French Twist (Gazon maudit) (1995),Comedy|Romance,"['Comedy', 'Romance']"
68,69,68,Friday (1995),Comedy,['Comedy']
69,70,69,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"['Action', 'Comedy', 'Horror', 'Thriller']"
70,71,70,Fair Game (1995),Action,['Action']
71,72,71,Kicking and Screaming (1995),Comedy|Drama,"['Comedy', 'Drama']"
72,73,72,"Misérables, Les (1995)",Drama|War,"['Drama', 'War']"
73,74,73,Bed of Roses (1996),Drama|Romance,"['Drama', 'Romance']"
74,75,74,Big Bully (1996),Comedy|Drama,"['Comedy', 'Drama']"
75,76,75,Screamers (1995),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']"
76,77,76,Nico Icon (1995),Documentary,['Documentary']
77,78,77,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']"
78,79,78,"Juror, The (1996)",Drama|Thriller,"['Drama', 'Thriller']"
79,80,79,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"['Children', 'Drama']"
80,81,80,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"['Crime', 'Drama', 'Romance']"
81,82,81,Antonia's Line (Antonia) (1995),Comedy|Drama,"['Comedy', 'Drama']"
82,83,82,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"['Drama', 'Romance']"
83,84,83,Last Summer in the Hamptons (1995),Comedy|Drama,"['Comedy', 'Drama']"
84,85,84,Angels and Insects (1995),Drama|Romance,"['Drama', 'Romance']"
85,86,85,White Squall (1996),Action|Adventure|Drama,"['Action', 'Adventure', 'Drama']"
