,movieId,movieId_order,title,genres,genres_v2
0,1,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
1,2,1,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']"
2,3,2,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']"
3,4,3,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
4,5,4,Father of the Bride Part II (1995),Comedy,['Comedy']
5,6,5,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']"
6,7,6,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']"
7,8,7,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']"
8,9,8,Sudden Death (1995),Action,['Action']
9,10,9,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']"
10,11,10,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
11,12,11,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']"
12,13,12,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']"
13,14,13,Nixon (1995),Drama,['Drama']
14,15,14,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']"
15,16,15,Casino (1995),Crime|Drama,"['Crime', 'Drama']"
16,17,16,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']"
17,18,17,Four Rooms (1995),Comedy,['Comedy']
18,19,18,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy']
19,20,19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
20,21,20,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']"
21,22,21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
22,23,22,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']"
23,24,23,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']"
24,25,24,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']"
25,26,25,Othello (1995),Drama,['Drama']
26,27,26,Now and Then (1995),Children|Drama,"['Children', 'Drama']"
27,28,27,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']"
28,29,28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
29,30,29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"['Crime', 'Drama']"
30,31,30,Dangerous Minds (1995),Drama,['Drama']
31,32,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']"
32,34,32,Babe (1995),Children|Drama,"['Children', 'Drama']"
33,36,33,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']"
34,38,34,It Takes Two (1995),Children|Comedy,"['Children', 'Comedy']"
35,39,35,Clueless (1995),Comedy|Romance,"['Comedy', 'Romance']"
36,40,36,"Cry, the Beloved Country (1995)",Drama,['Drama']
37,41,37,Richard III (1995),Drama|War,"['Drama', 'War']"
38,42,38,Dead Presidents (1995),Action|Crime|Drama,"['Action', 'Crime', 'Drama']"
39,43,39,Restoration (1995),Drama,['Drama']
40,44,40,Mortal Kombat (1995),Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']"
41,45,41,To Die For (1995),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']"
42,46,42,How to Make an American Quilt (1995),Drama|Romance,"['Drama', 'Romance']"
43,47,43,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['Mystery', 'Thriller']"
44,48,44,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']"
45,49,45,When Night Is Falling (1995),Drama|Romance,"['Drama', 'Romance']"
46,50,46,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"['Crime', 'Mystery', 'Thriller']"
47,52,47,Mighty Aphrodite (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
48,53,48,Lamerica (1994),Adventure|Drama,"['Adventure', 'Drama']"
49,54,49,"Big Green, The (1995)",Children|Comedy,"['Children', 'Comedy']"
50,55,50,Georgia (1995),Drama,['Drama']
51,57,51,Home for the Holidays (1995),Drama,['Drama']
52,58,52,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
53,60,53,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']"
54,61,54,Eye for an Eye (1996),Drama|Thriller,"['Drama', 'Thriller']"
55,62,55,Mr. Holland's Opus (1995),Drama,['Drama']
56,63,56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"['Comedy', 'Crime']"
57,64,57,Two if by Sea (1996),Comedy|Romance,"['Comedy', 'Romance']"
58,65,58,Bio-Dome (1996),Comedy,['Comedy']
59,66,59,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']"
60,68,60,French Twist (Gazon maudit) (1995),Comedy|Romance,"['Comedy', 'Romance']"
61,69,61,Friday (1995),Comedy,['Comedy']
62,70,62,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"['Action', 'Comedy', 'Horror', 'Thriller']"
63,71,63,Fair Game (1995),Action,['Action']
64,72,64,Kicking and Screaming (1995),Comedy|Drama,"['Comedy', 'Drama']"
65,73,65,"Misérables, Les (1995)",Drama|War,"['Drama', 'War']"
66,74,66,Bed of Roses (1996),Drama|Romance,"['Drama', 'Romance']"
67,75,67,Big Bully (1996),Comedy|Drama,"['Comedy', 'Drama']"
68,76,68,Screamers (1995),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']"
69,77,69,Nico Icon (1995),Documentary,['Documentary']
70,78,70,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']"
71,79,71,"Juror, The (1996)",Drama|Thriller,"['Drama', 'Thriller']"
72,80,72,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"['Children', 'Drama']"
73,81,73,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"['Crime', 'Drama', 'Romance']"
74,82,74,Antonia's Line (Antonia) (1995),Comedy|Drama,"['Comedy', 'Drama']"
75,83,75,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"['Drama', 'Romance']"
76,85,76,Angels and Insects (1995),Drama|Romance,"['Drama', 'Romance']"
77,86,77,White Squall (1996),Action|Adventure|Drama,"['Action', 'Adventure', 'Drama']"
78,87,78,Dunston Checks In (1996),Children|Comedy,"['Children', 'Comedy']"
79,88,79,Black Sheep (1996),Comedy,['Comedy']
80,89,80,Nick of Time (1995),Action|Thriller,"['Action', 'Thriller']"
81,92,81,Mary Reilly (1996),Drama|Horror|Thriller,"['Drama', 'Horror', 'Thriller']"
82,93,82,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"['Comedy', 'Horror', 'Romance']"
83,94,83,Beautiful Girls (1996),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']"
84,95,84,Broken Arrow (1996),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']"
85,96,85,In the Bleak Midwinter (1995),Comedy|Drama,"['Comedy', 'Drama']"
